,Country,EdLevel,YearsCodePro,Salary,Age
11827,India,Master’s degree,7.0,34904.0,25-34 years old
11831,Germany,Less than a Bachelors,3.0,38915.0,18-24 years old
11842,India,Master’s degree,6.0,22339.0,25-34 years old
11847,India,Master’s degree,8.0,16080.0,25-34 years old
11853,USA,Bachelor’s degree,7.0,200000.0,25-34 years old
11856,Belgium,Bachelor’s degree,5.0,42804.0,25-34 years old
11857,Italy,Master’s degree,5.0,37834.0,35-44 years old
11861,Poland,Master’s degree,3.0,10932.0,25-34 years old
11864,Switzerland,Bachelor’s degree,11.0,111814.0,35-44 years old
11865,Norway,Master’s degree,5.0,80922.0,25-34 years old
11867,Brazil,Bachelor’s degree,4.0,10992.0,25-34 years old
11870,Germany,Bachelor’s degree,15.0,77832.0,35-44 years old
11875,India,Master’s degree,12.0,11724.0,35-44 years old
11883,USA,Bachelor’s degree,3.0,95000.0,18-24 years old
11884,Denmark,Less than a Bachelors,6.0,66000.0,25-34 years old
11889,Germany,Less than a Bachelors,1.0,31128.0,18-24 years old
11890,Netherlands,Less than a Bachelors,12.0,64860.0,25-34 years old
11894,Ruassia,Master’s degree,4.0,22644.0,18-24 years old
11896,Germany,Master’s degree,6.0,81074.0,25-34 years old
11897,Iran,Bachelor’s degree,10.0,31356.0,25-34 years old
11902,Germany,Master’s degree,5.0,72636.0,25-34 years old
11903,India,Bachelor’s degree,6.0,32112.0,25-34 years old
11904,Australia,Bachelor’s degree,18.0,120257.0,35-44 years old
11908,Poland,Less than a Bachelors,4.0,19740.0,18-24 years old
11910,Switzerland,Post grad,7.0,58548.0,25-34 years old
11912,Italy,Post grad,12.0,32429.0,35-44 years old
11915,Sweden,Less than a Bachelors,8.0,45408.0,35-44 years old
11924,India,Bachelor’s degree,4.0,70368.0,25-34 years old
11926,India,Master’s degree,5.0,16752.0,25-34 years old
11928,Germany,Master’s degree,18.0,75669.0,35-44 years old
11937,Italy,Less than a Bachelors,15.0,48644.0,45-54 years old
11939,UK,Bachelor’s degree,0.5,86604.0,25-34 years old
11955,Poland,Bachelor’s degree,1.0,10020.0,18-24 years old
11956,Germany,Less than a Bachelors,7.0,41508.0,25-34 years old
11958,Sweden,Bachelor’s degree,2.0,40500.0,18-24 years old
11959,Ruassia,Post grad,2.0,28308.0,25-34 years old
11960,Australia,Master’s degree,4.0,76831.0,25-34 years old
11964,Australia,Less than a Bachelors,6.0,34741.0,25-34 years old
11965,France,Master’s degree,6.0,41077.0,25-34 years old
11966,India,Bachelor’s degree,10.0,33504.0,25-34 years old
11968,UK,Master’s degree,4.0,47826.0,25-34 years old
11971,Belgium,Bachelor’s degree,2.0,36972.0,25-34 years old
11972,Poland,Master’s degree,10.0,36444.0,25-34 years old
11974,USA,Less than a Bachelors,5.0,170000.0,25-34 years old
11978,India,Master’s degree,7.0,33508.0,25-34 years old
11979,Australia,Bachelor’s degree,3.0,55160.0,25-34 years old
11980,Poland,Bachelor’s degree,11.0,66828.0,35-44 years old
11983,USA,Bachelor’s degree,5.0,85000.0,25-34 years old
11985,Germany,Master’s degree,9.0,76992.0,25-34 years old
11988,Sweden,Less than a Bachelors,3.0,55224.0,35-44 years old
11991,South Africa,Bachelor’s degree,14.0,61806.0,35-44 years old
11993,Belgium,Master’s degree,1.0,44100.0,18-24 years old
11996,India,Bachelor’s degree,14.0,16752.0,35-44 years old
11997,Spain,Master’s degree,7.0,47563.0,25-34 years old
12001,Czech Republic,Less than a Bachelors,3.0,20784.0,25-34 years old
12003,Sweden,Bachelor’s degree,6.0,61368.0,25-34 years old
12005,India,Master’s degree,8.0,25131.0,35-44 years old
12009,India,Master’s degree,8.0,19546.0,25-34 years old
12010,France,Bachelor’s degree,1.0,19452.0,35-44 years old
12013,Netherlands,Master’s degree,13.0,84316.0,35-44 years old
12016,Austria,Master’s degree,7.0,53376.0,25-34 years old
12017,Germany,Master’s degree,15.0,71340.0,35-44 years old
12019,India,Bachelor’s degree,2.0,22339.0,18-24 years old
12029,Germany,Less than a Bachelors,6.0,43780.0,25-34 years old
12030,Romania,Master’s degree,7.0,43692.0,25-34 years old
12032,India,Less than a Bachelors,5.0,33508.0,25-34 years old
12036,China,Post grad,1.0,102882.0,25-34 years old
12037,Spain,Bachelor’s degree,7.0,59454.0,25-34 years old
12038,Australia,Bachelor’s degree,3.0,35650.0,25-34 years old
12040,Belgium,Master’s degree,8.0,64860.0,25-34 years old
12041,India,Bachelor’s degree,6.0,27923.0,25-34 years old
12042,India,Bachelor’s degree,2.0,10052.0,18-24 years old
12048,USA,Bachelor’s degree,5.0,125000.0,25-34 years old
12058,India,Master’s degree,0.5,16752.0,18-24 years old
12059,Germany,Bachelor’s degree,1.0,46482.0,18-24 years old
12061,USA,Bachelor’s degree,3.0,150000.0,18-24 years old
12063,Spain,Bachelor’s degree,0.5,29186.0,18-24 years old
12067,Denmark,Bachelor’s degree,3.0,85104.0,25-34 years old
12068,Germany,Post grad,6.0,108098.0,25-34 years old
12073,Germany,Less than a Bachelors,6.0,64860.0,25-34 years old
12075,Sweden,Less than a Bachelors,6.0,48479.0,25-34 years old
12084,Italy,Master’s degree,20.0,38916.0,45-54 years old
12085,Brazil,Master’s degree,3.0,13740.0,25-34 years old
12088,India,Less than a Bachelors,8.0,16752.0,25-34 years old
12089,Austria,Bachelor’s degree,11.0,58373.0,25-34 years old
12091,Finland,Master’s degree,6.0,62268.0,25-34 years old
12092,Australia,Bachelor’s degree,4.0,40100.0,35-44 years old
12094,USA,Bachelor’s degree,5.0,135000.0,25-34 years old
12095,India,Bachelor’s degree,3.0,20943.0,18-24 years old
12098,Israel,Bachelor’s degree,11.0,168108.0,35-44 years old
12104,India,Bachelor’s degree,3.0,16754.0,18-24 years old
12108,Norway,Bachelor’s degree,4.0,64737.0,25-34 years old
12109,India,Bachelor’s degree,6.0,20943.0,25-34 years old
12112,Italy,Bachelor’s degree,5.0,34591.0,25-34 years old
12114,Finland,Less than a Bachelors,8.0,77832.0,25-34 years old
12115,China,Bachelor’s degree,6.0,75444.0,25-34 years old
12118,Turkey,Bachelor’s degree,3.0,15780.0,25-34 years old
12121,Ukraine,Master’s degree,3.0,16152.0,25-34 years old
12123,France,Master’s degree,3.0,43239.0,18-24 years old
12129,India,Bachelor’s degree,2.0,20943.0,18-24 years old
12132,China,Less than a Bachelors,4.0,92880.0,25-34 years old
12137,Romania,Bachelor’s degree,0.5,13572.0,18-24 years old
12140,Israel,Less than a Bachelors,25.0,91056.0,45-54 years old
12143,UK,Master’s degree,2.0,155111.0,35-44 years old
12144,Netherlands,Bachelor’s degree,12.0,54480.0,35-44 years old
12146,Denmark,Less than a Bachelors,3.0,52104.0,25-34 years old
12147,Romania,Master’s degree,10.0,40704.0,25-34 years old
12152,Sweden,Bachelor’s degree,19.0,63816.0,35-44 years old
12154,Switzerland,Master’s degree,8.0,103682.0,25-34 years old
12158,Germany,Bachelor’s degree,2.0,48000.0,18-24 years old
12159,Netherlands,Bachelor’s degree,6.0,48644.0,25-34 years old
12160,India,Bachelor’s degree,12.0,24000.0,25-34 years old
12161,USA,Bachelor’s degree,13.0,180000.0,35-44 years old
12164,France,Master’s degree,7.0,38915.0,25-34 years old
12167,USA,Bachelor’s degree,4.0,135000.0,35-44 years old
12168,Turkey,Master’s degree,4.0,49308.0,35-44 years old
12171,Belgium,Bachelor’s degree,5.0,49296.0,25-34 years old
12172,Turkey,Bachelor’s degree,2.0,15780.0,25-34 years old
12173,UK,Bachelor’s degree,24.0,62045.0,45-54 years old
12175,France,Bachelor’s degree,3.0,50806.0,25-34 years old
12177,Germany,Master’s degree,5.0,49185.0,25-34 years old
12179,USA,Post grad,10.0,200000.0,35-44 years old
12183,Italy,Master’s degree,4.0,34591.0,25-34 years old
12184,Austria,Master’s degree,10.0,62697.0,25-34 years old
12185,Poland,Bachelor’s degree,4.0,16704.0,25-34 years old
12187,India,Bachelor’s degree,2.0,22339.0,18-24 years old
12189,Belgium,Bachelor’s degree,0.5,29832.0,25-34 years old
12192,France,Bachelor’s degree,2.0,27240.0,25-34 years old
12196,Switzerland,Master’s degree,2.0,91484.0,25-34 years old
12199,USA,Bachelor’s degree,12.0,86000.0,35-44 years old
12200,Sweden,Master’s degree,21.0,73644.0,35-44 years old
12201,Germany,Bachelor’s degree,7.0,70264.0,25-34 years old
12206,Ruassia,Master’s degree,7.0,39636.0,25-34 years old
12209,Germany,Bachelor’s degree,2.0,47347.0,25-34 years old
12212,Poland,Bachelor’s degree,8.0,86062.0,25-34 years old
12215,UK,Master’s degree,10.0,138308.0,25-34 years old
12216,Australia,Master’s degree,5.0,70818.0,25-34 years old
12218,Iran,Master’s degree,6.0,28500.0,25-34 years old
12221,Iran,Master’s degree,4.0,25656.0,18-24 years old
12224,Switzerland,Less than a Bachelors,8.0,121979.0,35-44 years old
12228,France,Master’s degree,3.0,37834.0,25-34 years old
12229,India,Bachelor’s degree,2.0,12566.0,25-34 years old
12233,Germany,Bachelor’s degree,6.0,64859.0,35-44 years old
12234,Poland,Master’s degree,6.0,44550.0,25-34 years old
12235,Australia,Bachelor’s degree,5.0,86853.0,35-44 years old
12241,Czech Republic,Less than a Bachelors,15.0,73615.0,25-34 years old
12243,Germany,Less than a Bachelors,9.0,43564.0,35-44 years old
12249,Pakistan,Bachelor’s degree,4.0,10116.0,25-34 years old
12250,Spain,Bachelor’s degree,5.0,45401.0,25-34 years old
12251,Poland,Bachelor’s degree,6.0,39492.0,25-34 years old
12254,USA,Bachelor’s degree,5.0,72600.0,25-34 years old
12255,Austria,Master’s degree,10.0,71129.0,35-44 years old
12257,Australia,Bachelor’s degree,2.0,100200.0,18-24 years old
12263,Germany,Master’s degree,13.0,131880.0,25-34 years old
12264,Czech Republic,Master’s degree,1.0,15588.0,18-24 years old
12270,Germany,Master’s degree,11.0,83236.0,25-34 years old
12271,Germany,Master’s degree,2.0,48000.0,25-34 years old
12273,Germany,Master’s degree,13.0,75669.0,35-44 years old
12284,Ukraine,Bachelor’s degree,11.0,46488.0,25-34 years old
12287,India,Bachelor’s degree,6.0,20272.0,25-34 years old
12289,Greece,Master’s degree,0.5,11412.0,25-34 years old
12291,Germany,Less than a Bachelors,23.0,86478.0,45-54 years old
12293,Germany,Master’s degree,4.0,46482.0,25-34 years old
12295,UK,Bachelor’s degree,32.0,164159.0,55-64 years old
12298,Iran,Master’s degree,6.0,48456.0,25-34 years old
12301,Australia,Bachelor’s degree,8.0,113910.0,25-34 years old
12303,India,Master’s degree,4.0,12566.0,25-34 years old
12307,Spain,Bachelor’s degree,4.0,32429.0,25-34 years old
12309,Germany,Less than a Bachelors,10.0,35028.0,25-34 years old
12310,Germany,Bachelor’s degree,4.0,51887.0,25-34 years old
12326,UK,Bachelor’s degree,0.5,90482.0,25-34 years old
12331,France,Master’s degree,5.0,64859.0,25-34 years old
12349,Netherlands,Bachelor’s degree,40.0,71345.0,55-64 years old
12357,Germany,Less than a Bachelors,4.0,44100.0,25-34 years old
12358,Netherlands,Master’s degree,10.0,71340.0,25-34 years old
12362,USA,Bachelor’s degree,20.0,80000.0,35-44 years old
12363,France,Less than a Bachelors,0.5,37620.0,18-24 years old
12364,Italy,Less than a Bachelors,15.0,22056.0,35-44 years old
12365,India,Bachelor’s degree,2.0,26527.0,18-24 years old
12366,Turkey,Bachelor’s degree,4.0,14196.0,25-34 years old
12367,Germany,Master’s degree,10.0,75669.0,25-34 years old
12369,Israel,Less than a Bachelors,5.0,35028.0,18-24 years old
12372,India,Bachelor’s degree,6.0,18150.0,25-34 years old
12374,Germany,Less than a Bachelors,12.0,76750.0,35-44 years old
12375,India,Bachelor’s degree,0.5,192168.0,18-24 years old
12376,Australia,Post grad,8.0,83512.0,45-54 years old
12390,Germany,Bachelor’s degree,3.0,59454.0,25-34 years old
12392,New Zealand,Bachelor’s degree,11.0,140558.0,35-44 years old
12393,Netherlands,Master’s degree,10.0,62268.0,25-34 years old
12394,Argentina,Less than a Bachelors,2.0,14400.0,25-34 years old
12396,Italy,Less than a Bachelors,3.0,22056.0,25-34 years old
12397,Spain,Less than a Bachelors,6.0,52968.0,25-34 years old
12399,USA,Less than a Bachelors,4.0,80000.0,25-34 years old
12401,Austria,Post grad,4.0,25944.0,25-34 years old
12402,Pakistan,Bachelor’s degree,2.0,18000.0,18-24 years old
12406,South Africa,Master’s degree,7.0,88068.0,25-34 years old
12407,India,Master’s degree,6.0,33504.0,25-34 years old
12408,Netherlands,Less than a Bachelors,14.0,71340.0,35-44 years old
12409,Australia,Bachelor’s degree,18.0,100214.0,35-44 years old
12410,Israel,Less than a Bachelors,5.0,126084.0,18-24 years old
12421,Ruassia,Bachelor’s degree,6.0,32088.0,25-34 years old
12422,Sweden,Bachelor’s degree,20.0,67500.0,35-44 years old
12429,India,Master’s degree,14.0,20244.0,35-44 years old
12431,Germany,Post grad,9.0,48648.0,25-34 years old
12435,Greece,Bachelor’s degree,8.0,33919.0,25-34 years old
12436,Ruassia,Master’s degree,7.0,22644.0,25-34 years old
12437,UK,Master’s degree,6.0,71093.0,35-44 years old
12440,UK,Bachelor’s degree,4.0,71093.0,25-34 years old
12442,Israel,Bachelor’s degree,3.0,80556.0,25-34 years old
12443,Czech Republic,Master’s degree,11.0,28584.0,35-44 years old
12455,Switzerland,Master’s degree,13.0,132143.0,35-44 years old
12459,Poland,Master’s degree,4.0,45564.0,25-34 years old
12468,UK,Master’s degree,0.5,41363.0,25-34 years old
12469,USA,Master’s degree,33.0,170000.0,55-64 years old
12471,Spain,Bachelor’s degree,5.0,30267.0,35-44 years old
12474,Pakistan,Bachelor’s degree,5.0,11676.0,25-34 years old
12475,Ruassia,Bachelor’s degree,4.0,13212.0,25-34 years old
12481,India,Bachelor’s degree,6.0,21585.0,25-34 years old
12483,Germany,Less than a Bachelors,10.0,56211.0,35-44 years old
12484,Germany,Bachelor’s degree,2.0,49296.0,25-34 years old
12493,France,Post grad,27.0,86478.0,45-54 years old
12494,Spain,Master’s degree,18.0,36753.0,35-44 years old
12495,Australia,Bachelor’s degree,6.0,98210.0,25-34 years old
12496,Iran,Master’s degree,11.0,23040.0,25-34 years old
12497,India,Master’s degree,3.0,10052.0,18-24 years old
12500,Germany,Master’s degree,6.0,56860.0,25-34 years old
12504,Poland,Master’s degree,6.0,150000.0,25-34 years old
12505,Sweden,Less than a Bachelors,1.0,31908.0,18-24 years old
12507,Denmark,Less than a Bachelors,9.0,94656.0,25-34 years old
12508,Italy,Master’s degree,16.0,55130.0,35-44 years old
12511,Italy,Master’s degree,20.0,32424.0,35-44 years old
12512,Spain,Post grad,4.0,36753.0,25-34 years old
12513,Finland,Master’s degree,3.0,43239.0,25-34 years old
12516,Romania,Bachelor’s degree,1.0,12972.0,18-24 years old
12518,Switzerland,Bachelor’s degree,10.0,101649.0,25-34 years old
12519,Austria,Master’s degree,9.0,77831.0,25-34 years old
12521,Turkey,Bachelor’s degree,3.0,23664.0,25-34 years old
12525,Sweden,Less than a Bachelors,6.0,42960.0,25-34 years old
12526,Denmark,Bachelor’s degree,6.0,80760.0,25-34 years old
12528,Netherlands,Post grad,8.0,32424.0,25-34 years old
12529,Denmark,Less than a Bachelors,5.0,64405.0,25-34 years old
12530,USA,Master’s degree,6.0,90000.0,25-34 years old
12535,UK,Bachelor’s degree,6.0,56874.0,25-34 years old
12536,Czech Republic,Master’s degree,5.0,23388.0,25-34 years old
12539,Sweden,Bachelor’s degree,22.0,79776.0,45-54 years old
12543,Germany,Bachelor’s degree,2.0,64859.0,18-24 years old
12546,Sweden,Master’s degree,3.0,36816.0,25-34 years old
12547,Sweden,Master’s degree,5.0,61368.0,25-34 years old
12548,Switzerland,Post grad,10.0,160605.0,35-44 years old
12549,Germany,Master’s degree,5.0,70264.0,35-44 years old
12551,Germany,Master’s degree,25.0,81074.0,45-54 years old
12554,Greece,Bachelor’s degree,3.0,49296.0,25-34 years old
12555,France,Master’s degree,6.0,31128.0,25-34 years old
12557,Italy,Bachelor’s degree,32.0,48644.0,35-44 years old
12558,Finland,Bachelor’s degree,1.0,38916.0,18-24 years old
12559,Sweden,Master’s degree,15.0,65052.0,35-44 years old
12567,Germany,Less than a Bachelors,3.0,42374.0,25-34 years old
12570,Greece,Less than a Bachelors,8.0,21187.0,35-44 years old
12575,Italy,Master’s degree,7.0,28105.0,25-34 years old
12578,Pakistan,Bachelor’s degree,5.0,11676.0,25-34 years old
12579,Germany,Master’s degree,2.0,56211.0,25-34 years old
12581,UK,Less than a Bachelors,5.0,77556.0,18-24 years old
12583,France,Less than a Bachelors,17.0,118908.0,35-44 years old
12584,Norway,Bachelor’s degree,2.0,151054.0,18-24 years old
12588,UK,Post grad,3.0,77556.0,45-54 years old
12589,Israel,Less than a Bachelors,10.0,105072.0,25-34 years old
12592,France,Post grad,30.0,32424.0,55-64 years old
12595,China,Bachelor’s degree,4.0,47154.0,25-34 years old
12598,UK,Less than a Bachelors,2.0,28437.0,18-24 years old
12601,Norway,Post grad,11.0,91711.0,35-44 years old
12603,Poland,Less than a Bachelors,2.0,21264.0,18-24 years old
12606,Ruassia,Master’s degree,8.0,47184.0,25-34 years old
12608,Germany,Post grad,7.0,60535.0,25-34 years old
12610,Netherlands,Less than a Bachelors,20.0,199981.0,55-64 years old
12612,Austria,Master’s degree,22.0,70264.0,35-44 years old
12614,Poland,Bachelor’s degree,5.0,42528.0,25-34 years old
12620,UK,Less than a Bachelors,22.0,116333.0,45-54 years old
12621,Czech Republic,Master’s degree,2.0,47633.0,25-34 years old
12622,Germany,Bachelor’s degree,3.0,56211.0,25-34 years old
12623,India,Master’s degree,9.0,93544.0,25-34 years old
12626,Germany,Bachelor’s degree,12.0,92964.0,35-44 years old
12629,Netherlands,Less than a Bachelors,18.0,66156.0,35-44 years old
12632,France,Less than a Bachelors,8.0,70264.0,25-34 years old
12633,UK,Bachelor’s degree,4.0,51704.0,25-34 years old
12635,India,Bachelor’s degree,3.0,18432.0,25-34 years old
12638,Spain,Bachelor’s degree,6.0,41077.0,25-34 years old
12639,Denmark,Bachelor’s degree,6.0,52104.0,25-34 years old
12641,Norway,Less than a Bachelors,27.0,107895.0,45-54 years old
12642,Spain,Less than a Bachelors,5.0,47563.0,25-34 years old
12647,Spain,Less than a Bachelors,2.0,39996.0,25-34 years old
12648,USA,Bachelor’s degree,8.0,126000.0,35-44 years old
12649,Germany,Master’s degree,8.0,87559.0,25-34 years old
12651,Italy,Bachelor’s degree,3.0,22701.0,25-34 years old
12652,Finland,Bachelor’s degree,15.0,66156.0,35-44 years old
12653,Italy,Master’s degree,2.0,24863.0,25-34 years old
12654,Australia,Bachelor’s degree,23.0,92197.0,45-54 years old
12657,Ruassia,Bachelor’s degree,4.0,41520.0,25-34 years old
12663,France,Master’s degree,3.0,41077.0,25-34 years old
12664,India,Bachelor’s degree,4.0,138384.0,25-34 years old
12667,Italy,Bachelor’s degree,9.0,31348.0,25-34 years old
12675,UK,Bachelor’s degree,3.0,38778.0,25-34 years old
12676,New Zealand,Bachelor’s degree,4.0,70918.0,25-34 years old
12678,Israel,Less than a Bachelors,22.0,122580.0,35-44 years old
12679,France,Master’s degree,9.0,35672.0,18-24 years old
12689,Germany,Master’s degree,20.0,135123.0,35-44 years old
12690,Austria,Bachelor’s degree,15.0,75669.0,25-34 years old
12691,India,Bachelor’s degree,3.0,36300.0,18-24 years old
12692,UK,Post grad,11.0,93072.0,25-34 years old
12696,Australia,Less than a Bachelors,31.0,80172.0,45-54 years old
12704,Ruassia,Less than a Bachelors,5.0,26040.0,25-34 years old
12706,France,Master’s degree,8.0,78912.0,25-34 years old
12707,Netherlands,Less than a Bachelors,15.0,59676.0,25-34 years old
12708,Italy,Master’s degree,1.0,22701.0,25-34 years old
12711,Netherlands,Master’s degree,10.0,100000.0,25-34 years old
12712,Sweden,Master’s degree,16.0,63816.0,35-44 years old
12713,France,Post grad,14.0,39996.0,35-44 years old
12716,Israel,Less than a Bachelors,20.0,126084.0,35-44 years old
12718,Germany,Master’s degree,21.0,81074.0,45-54 years old
12720,India,Bachelor’s degree,3.0,30156.0,25-34 years old
12726,Turkey,Bachelor’s degree,4.0,54240.0,25-34 years old
12729,Sweden,Less than a Bachelors,3.0,47868.0,18-24 years old
12735,France,Master’s degree,9.0,70264.0,25-34 years old
12736,UK,Bachelor’s degree,7.0,98969.0,25-34 years old
12737,France,Master’s degree,10.0,40044.0,25-34 years old
12739,Belgium,Less than a Bachelors,13.0,45396.0,35-44 years old
12742,India,Bachelor’s degree,0.5,11724.0,18-24 years old
12746,Netherlands,Bachelor’s degree,1.0,31128.0,18-24 years old
12748,Italy,Master’s degree,1.0,16585.0,25-34 years old
12749,Netherlands,Master’s degree,10.0,90804.0,35-44 years old
12760,Netherlands,Master’s degree,3.0,49296.0,25-34 years old
12763,New Zealand,Master’s degree,30.0,89446.0,45-54 years old
12765,Greece,Master’s degree,8.0,49725.0,25-34 years old
12766,Spain,Bachelor’s degree,17.0,75669.0,35-44 years old
12771,Ukraine,Master’s degree,13.0,60000.0,35-44 years old
12775,France,Master’s degree,6.0,30267.0,25-34 years old
12776,Italy,Less than a Bachelors,3.0,22704.0,18-24 years old
12779,Germany,Master’s degree,36.0,76750.0,55-64 years old
12780,Greece,Bachelor’s degree,4.0,16860.0,25-34 years old
12783,Finland,Master’s degree,12.0,64860.0,35-44 years old
12784,USA,Less than a Bachelors,3.0,90000.0,25-34 years old
12785,France,Master’s degree,6.0,39996.0,25-34 years old
12787,Germany,Master’s degree,5.0,49296.0,35-44 years old
12792,Netherlands,Less than a Bachelors,14.0,58368.0,35-44 years old
12800,Germany,Master’s degree,3.0,62268.0,25-34 years old
12806,Sweden,Bachelor’s degree,4.0,54612.0,25-34 years old
12813,UK,Master’s degree,7.0,129259.0,25-34 years old
12815,Finland,Less than a Bachelors,5.0,87564.0,25-34 years old
12818,India,Bachelor’s degree,4.0,11728.0,25-34 years old
12821,Sweden,Less than a Bachelors,8.0,53388.0,25-34 years old
12824,Finland,Less than a Bachelors,20.0,67452.0,35-44 years old
12827,France,Master’s degree,3.0,43239.0,25-34 years old
12828,UK,Post grad,10.0,103408.0,35-44 years old
12829,France,Bachelor’s degree,10.0,81050.0,35-44 years old
12830,USA,Less than a Bachelors,15.0,180000.0,25-34 years old
12832,India,Bachelor’s degree,5.0,21780.0,25-34 years old
12833,Germany,Less than a Bachelors,5.0,23352.0,25-34 years old
12840,USA,Bachelor’s degree,2.0,83000.0,18-24 years old
12844,Finland,Bachelor’s degree,9.0,53671.0,35-44 years old
12846,France,Master’s degree,3.0,43239.0,25-34 years old
12847,France,Less than a Bachelors,21.0,77831.0,35-44 years old
12853,Netherlands,Less than a Bachelors,22.0,58368.0,35-44 years old
12854,Netherlands,Bachelor’s degree,9.0,67847.0,25-34 years old
12855,India,Bachelor’s degree,6.0,50262.0,25-34 years old
12857,Ukraine,Less than a Bachelors,2.0,24000.0,25-34 years old
12859,Belgium,Bachelor’s degree,4.0,33732.0,25-34 years old
12861,Spain,Master’s degree,5.0,40731.0,25-34 years old
12864,Austria,Master’s degree,6.0,49941.0,25-34 years old
12865,Norway,Bachelor’s degree,14.0,93869.0,35-44 years old
12871,France,Bachelor’s degree,11.0,28672.0,25-34 years old
12872,Israel,Bachelor’s degree,7.0,105072.0,25-34 years old
12875,UK,Less than a Bachelors,3.0,23267.0,18-24 years old
12877,Germany,Less than a Bachelors,7.0,75669.0,25-34 years old
12884,Switzerland,Bachelor’s degree,6.0,106731.0,25-34 years old
12885,Germany,Bachelor’s degree,5.0,62124.0,18-24 years old
12889,Germany,Post grad,5.0,40884.0,25-34 years old
12891,Netherlands,Bachelor’s degree,5.0,36324.0,18-24 years old
12893,Iran,Master’s degree,5.0,18528.0,25-34 years old
12894,Netherlands,Less than a Bachelors,8.0,27240.0,25-34 years old
12899,Germany,Master’s degree,12.0,108098.0,35-44 years old
12900,UK,Less than a Bachelors,23.0,127321.0,35-44 years old
12904,Turkey,Bachelor’s degree,9.0,58188.0,25-34 years old
12906,Ruassia,Master’s degree,12.0,47184.0,25-34 years old
12909,USA,Less than a Bachelors,3.0,178000.0,35-44 years old
12911,Sweden,Less than a Bachelors,13.0,73644.0,25-34 years old
12913,Sweden,Bachelor’s degree,6.0,41724.0,25-34 years old
12922,Spain,Master’s degree,8.0,19452.0,25-34 years old
12924,USA,Master’s degree,11.0,120000.0,35-44 years old
12928,France,Post grad,6.0,39108.0,25-34 years old
12935,Australia,Bachelor’s degree,7.0,167000.0,25-34 years old
12940,India,Bachelor’s degree,5.0,37697.0,25-34 years old
12942,Denmark,Post grad,17.0,83364.0,35-44 years old
12945,Ruassia,Master’s degree,15.0,35856.0,35-44 years old
12947,South Africa,Less than a Bachelors,4.0,16812.0,25-34 years old
12948,Germany,Master’s degree,9.0,54049.0,35-44 years old
12952,Iran,Master’s degree,8.0,38472.0,25-34 years old
12953,South Africa,Bachelor’s degree,18.0,32772.0,45-54 years old
12955,Netherlands,Master’s degree,16.0,64859.0,35-44 years old
12956,Germany,Post grad,10.0,66480.0,35-44 years old
12958,Spain,Bachelor’s degree,11.0,70264.0,35-44 years old
12959,Germany,Bachelor’s degree,3.0,57292.0,25-34 years old
12960,France,Master’s degree,7.0,54049.0,25-34 years old
12962,India,Bachelor’s degree,14.0,110000.0,25-34 years old
12963,Netherlands,Master’s degree,7.0,50592.0,25-34 years old
12971,UK,Bachelor’s degree,14.0,84019.0,45-54 years old
12975,India,Bachelor’s degree,9.0,24792.0,25-34 years old
12976,Finland,Bachelor’s degree,7.0,38916.0,25-34 years old
12977,Germany,Master’s degree,2.0,51240.0,25-34 years old
12979,Italy,Less than a Bachelors,10.0,40537.0,25-34 years old
12983,Iran,Master’s degree,5.0,34200.0,25-34 years old
12988,Austria,Less than a Bachelors,6.0,58368.0,25-34 years old
12989,India,Bachelor’s degree,9.0,14897.0,25-34 years old
12993,Ukraine,Master’s degree,6.0,61176.0,25-34 years old
12994,France,Less than a Bachelors,5.0,43239.0,25-34 years old
13000,Spain,Master’s degree,4.0,51887.0,25-34 years old
13001,Spain,Bachelor’s degree,13.0,48644.0,35-44 years old
13004,Sweden,Bachelor’s degree,11.0,102276.0,25-34 years old
13006,China,Less than a Bachelors,7.0,30864.0,25-34 years old
13007,France,Master’s degree,1.0,33510.0,25-34 years old
13016,Germany,Master’s degree,4.0,64859.0,25-34 years old
13025,Germany,Master’s degree,5.0,75669.0,25-34 years old
13031,Finland,Less than a Bachelors,16.0,77832.0,35-44 years old
13033,Australia,Master’s degree,10.0,106895.0,25-34 years old
13034,Spain,Less than a Bachelors,12.0,68102.0,35-44 years old
13036,Finland,Bachelor’s degree,4.0,96207.0,25-34 years old
13041,Turkey,Bachelor’s degree,11.0,58368.0,25-34 years old
13042,Italy,Bachelor’s degree,3.0,25944.0,25-34 years old
13044,UK,Bachelor’s degree,17.0,135722.0,35-44 years old
13048,Belgium,Bachelor’s degree,2.0,38916.0,18-24 years old
13051,Norway,Bachelor’s degree,3.0,76066.0,25-34 years old
13056,India,Bachelor’s degree,6.0,20943.0,25-34 years old
13058,Czech Republic,Master’s degree,30.0,37932.0,45-54 years old
13059,UK,Master’s degree,4.0,51704.0,25-34 years old
13065,South Africa,Bachelor’s degree,4.0,20016.0,25-34 years old
13066,Sweden,Master’s degree,5.0,79776.0,25-34 years old
13068,Norway,Master’s degree,13.0,118685.0,35-44 years old
13073,Switzerland,Master’s degree,10.0,152473.0,25-34 years old
13074,Sweden,Less than a Bachelors,12.0,41112.0,35-44 years old
13075,Israel,Less than a Bachelors,7.0,112068.0,18-24 years old
13079,Germany,Master’s degree,13.0,73944.0,35-44 years old
13082,Norway,Master’s degree,6.0,78764.0,25-34 years old
13083,Sweden,Bachelor’s degree,3.0,50316.0,25-34 years old
